Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida
244.6,2023-07-02 02:53:53.462088,244.5,2023-07-02 02:54:44.397719,-0.010000000000218279
244.6,2023-07-02 02:54:52.404203,244.49,2023-07-02 02:55:06.265852,-0.01099999999951251
244.7,2023-07-02 02:56:50.511675,244.51,2023-07-02 02:56:50.984799,-0.01900000000023283
244.7,2023-07-02 02:57:05.258510,244.5,2023-07-02 02:57:11.945096,-0.020000000000436557
244.7,2023-07-02 02:57:48.879028,244.52,2023-07-02 02:57:56.020987,-0.018000000000029104
244.6,2023-07-02 02:58:48.275539,244.46,2023-07-02 02:59:17.427719,-0.013999999999214197
244.4,2023-07-02 03:00:20.181330,244.34,2023-07-02 03:00:20.363202,-0.006000000000312866
244.4,2023-07-02 03:00:22.236208,244.34,2023-07-02 03:00:22.418993,-0.006000000000312866
244.4,2023-07-02 03:00:24.066639,244.34,2023-07-02 03:01:16.917403,-0.0059999999994033715
244.4,2023-07-02 03:02:16.232768,244.3,2023-07-02 03:02:30.810305,-0.010000000000218279
244.4,2023-07-02 03:02:45.825984,244.23,2023-07-02 03:02:53.144404,-0.016999999999825377
244.3,2023-07-02 03:03:24.736663,244.2,2023-07-02 03:03:25.332833,-0.010000000000218279
244.4,2023-07-02 03:03:30.573922,244.21,2023-07-02 03:04:14.389370,-0.01900000000023283
244.46,2023-07-02 03:04:45.006869,244.4,2023-07-02 03:05:08.163498,-0.006000000000312866
244.46,2023-07-02 03:05:21.300525,244.4,2023-07-02 03:05:28.326444,-0.0059999999994033715
244.6,2023-07-02 03:09:20.554960,244.4,2023-07-02 03:09:53.660131,-0.020000000000436557
244.5,2023-07-02 03:10:01.464892,244.4,2023-07-02 03:10:45.631725,-0.009999999999308784
244.5,2023-07-02 03:10:53.718079,244.3,2023-07-02 03:11:22.720763,-0.020000000000436557
244.4,2023-07-02 03:12:00.063765,244.26,2023-07-02 03:12:00.249415,-0.014000000000123691
244.4,2023-07-02 03:12:02.011310,244.26,2023-07-02 03:12:02.214796,-0.014000000000123691
244.4,2023-07-02 03:12:04.136156,244.26,2023-07-02 03:12:51.570370,-0.013999999999214197
244.4,2023-07-02 03:12:59.664338,244.23,2023-07-02 03:13:28.068005,-0.01700000000073487
244.3,2023-07-02 03:14:10.074544,244.22,2023-07-02 03:14:34.414474,-0.008399999999710417
244.3,2023-07-02 03:14:42.512581,244.2,2023-07-02 03:14:43.318218,-0.010000000000218279
244.3,2023-07-02 03:14:57.608062,244.21,2023-07-02 03:15:11.354772,-0.009000000000014552
244.3,2023-07-02 03:15:19.515439,244.2,2023-07-02 03:15:19.706749,-0.010000000000218279
244.3,2023-07-02 03:15:21.981490,244.2,2023-07-02 03:15:22.980911,-0.009999999999308784
244.4,2023-07-02 03:17:31.867084,244.2,2023-07-02 03:17:53.524581,-0.020000000000436557
244.4,2023-07-02 03:18:23.667528,244.3,2023-07-02 03:19:07.509918,-0.010000000000218279
244.4,2023-07-02 03:19:22.508530,244.3,2023-07-02 03:19:29.767167,-0.009999999999308784
244.4,2023-07-02 03:19:44.566410,244.3,2023-07-02 03:20:06.117165,-0.010000000000218279
244.4,2023-07-02 03:20:07.836984,244.3,2023-07-02 03:20:08.289103,-0.010000000000218279
244.4,2023-07-02 03:20:09.740163,244.3,2023-07-02 03:20:10.195155,-0.010000000000218279
244.45,2023-07-02 03:20:13.898213,244.31,2023-07-02 03:20:37.148342,-0.013999999999214197
244.6,2023-07-02 03:20:59.423774,244.5,2023-07-02 03:20:59.646015,-0.010000000000218279
244.6,2023-07-02 03:21:01.378145,244.5,2023-07-02 03:21:01.594833,-0.010000000000218279
244.73,2023-07-02 03:22:13.110339,244.7,2023-07-02 03:22:13.567921,-0.0029999999997016857
244.73,2023-07-02 03:22:15.000554,244.7,2023-07-02 03:22:15.464215,-0.0030000000006111804
244.73,2023-07-02 03:22:20.174896,244.7,2023-07-02 03:22:34.721580,-0.0029999999997016857
244.73,2023-07-02 03:23:11.656316,244.7,2023-07-02 03:23:26.073270,-0.0029999999997016857
245.0,2023-07-02 03:23:48.915774,244.71,2023-07-02 03:24:17.889312,-0.02900000000045111
244.9,2023-07-02 03:25:53.943045,244.8,2023-07-02 03:27:00.011441,-0.010000000000218279
244.9,2023-07-02 03:27:08.356858,244.8,2023-07-02 03:27:08.883632,-0.009999999999308784
244.9,2023-07-02 03:27:10.551638,244.8,2023-07-02 03:27:11.030435,-0.010000000000218279
244.8,2023-07-02 03:28:06.453536,244.51,2023-07-02 03:28:21.364989,-0.02900000000045111
244.8,2023-07-02 03:28:44.621235,244.7,2023-07-02 03:30:12.568708,-0.009999999999308784
244.7,2023-07-02 03:30:14.793527,244.51,2023-07-02 03:30:14.991022,-0.01900000000023283
244.8,2023-07-02 03:30:28.423252,244.51,2023-07-02 03:30:34.269426,-0.02900000000045111
244.7,2023-07-02 03:31:18.381648,244.51,2023-07-02 03:32:09.607034,-0.018999999999323336
244.7,2023-07-02 03:33:09.340097,244.51,2023-07-02 03:33:09.546896,-0.01900000000023283
244.7,2023-07-02 03:33:23.590436,244.51,2023-07-02 03:34:07.395544,-0.01900000000023283
244.7,2023-07-02 03:34:15.374787,244.6,2023-07-02 03:34:46.669203,-0.010000000000218279
244.7,2023-07-02 03:35:09.770244,244.6,2023-07-02 03:35:10.246759,-0.009999999999308784
244.7,2023-07-02 03:35:11.724709,244.6,2023-07-02 03:35:12.186097,-0.010000000000218279
244.7,2023-07-02 03:35:17.003995,244.6,2023-07-02 03:35:17.363137,-0.010000000000218279
244.7,2023-07-02 03:35:24.093640,244.6,2023-07-02 03:35:24.552043,-0.010000000000218279
244.7,2023-07-02 03:35:26.371005,244.6,2023-07-02 03:35:26.829385,-0.009999999999308784
244.7,2023-07-02 03:35:38.774188,244.6,2023-07-02 03:35:52.985497,-0.010000000000218279
244.7,2023-07-02 03:36:31.162808,244.5,2023-07-02 03:37:06.679327,-0.020000000000436557
244.5,2023-07-02 03:37:14.622085,244.42,2023-07-02 03:37:21.900068,-0.008799999999610009
244.5,2023-07-02 03:37:29.213264,244.31,2023-07-02 03:37:43.654415,-0.01900000000023283
244.3,2023-07-02 03:38:06.291127,244.22,2023-07-02 03:38:14.130537,-0.008399999999710417
244.3,2023-07-02 03:38:21.301926,244.11,2023-07-02 03:38:21.769124,-0.01900000000023283
244.3,2023-07-02 03:38:23.541595,244.11,2023-07-02 03:38:24.009132,-0.01900000000023283
244.3,2023-07-02 03:38:29.980842,244.11,2023-07-02 03:39:19.613831,-0.018999999999323336
244.0,2023-07-02 03:39:49.972626,243.81,2023-07-02 03:40:18.411766,-0.01900000000023283
244.1,2023-07-02 03:40:26.219084,243.81,2023-07-02 03:40:33.275237,-0.02900000000045111
244.1,2023-07-02 03:40:41.318231,243.74,2023-07-02 03:40:48.113875,-0.03679999999985739
243.7,2023-07-02 03:41:03.712558,243.61,2023-07-02 03:41:04.175528,-0.009000000000014552
243.8,2023-07-02 03:41:05.942355,243.61,2023-07-02 03:41:06.406504,-0.01900000000023283
244.0,2023-07-02 03:41:07.887952,243.9,2023-07-02 03:41:08.340132,-0.009999999999308784
244.0,2023-07-02 03:41:10.433398,243.61,2023-07-02 03:42:01.683895,-0.03900000000066939
244.1,2023-07-02 03:42:32.599025,243.61,2023-07-02 03:42:38.640703,-0.04899999999997817
244.0,2023-07-02 03:43:15.872859,243.61,2023-07-02 03:43:44.907789,-0.03899999999975989
243.6,2023-07-02 03:43:53.195338,243.51,2023-07-02 03:43:53.655168,-0.009000000000014552
243.6,2023-07-02 03:43:55.610987,243.51,2023-07-02 03:43:56.070621,-0.009000000000014552
243.7,2023-07-02 03:44:07.977839,243.51,2023-07-02 03:45:06.019549,-0.01929999999993015
243.6,2023-07-02 03:45:36.166889,243.46,2023-07-02 03:46:12.105692,-0.0158000000001266
243.6,2023-07-02 03:46:19.891480,243.41,2023-07-02 03:46:49.085911,-0.018999999999323336
243.7,2023-07-02 03:46:50.557886,243.41,2023-07-02 03:46:51.015378,-0.02900000000045111
243.7,2023-07-02 03:46:52.754455,243.41,2023-07-02 03:46:53.510396,-0.028999999999541615
243.7,2023-07-02 03:46:57.090067,243.41,2023-07-02 03:47:26.134571,-0.02900000000045111
243.8,2023-07-02 03:47:33.737190,243.41,2023-07-02 03:47:40.864195,-0.03899999999975989
243.7,2023-07-02 03:49:16.858326,243.51,2023-07-02 03:49:38.427645,-0.01900000000023283
243.8,2023-07-02 03:50:08.514923,243.61,2023-07-02 03:50:22.735623,-0.01900000000023283
243.8,2023-07-02 03:50:38.181853,243.7,2023-07-02 03:50:38.648077,-0.009999999999308784
243.8,2023-07-02 03:50:52.516034,243.7,2023-07-02 03:50:52.969849,-0.010000000000218279
243.8,2023-07-02 03:51:00.234539,243.7,2023-07-02 03:51:14.321551,-0.010000000000218279
243.7,2023-07-02 03:52:51.178887,243.6,2023-07-02 03:53:53.252457,-0.010000000000218279
243.4,2023-07-02 03:56:50.995211,243.3,2023-07-02 03:57:12.672535,-0.010000000000218279
243.5,2023-07-02 03:57:20.747101,243.4,2023-07-02 03:57:21.206971,-0.009999999999308784
243.5,2023-07-02 03:57:22.667622,243.4,2023-07-02 03:57:22.858294,-0.010000000000218279
243.5,2023-07-02 03:57:24.861728,243.4,2023-07-02 03:57:25.054163,-0.010000000000218279
243.5,2023-07-02 03:57:27.419018,243.3,2023-07-02 03:57:42.372190,-0.019999999999527063
243.4,2023-07-02 03:58:26.739747,243.21,2023-07-02 03:59:10.589872,-0.01929999999993015
243.2,2023-07-02 03:59:42.880649,243.1,2023-07-02 04:00:26.680282,-0.010000000000218279
243.2,2023-07-02 04:00:34.260039,243.1,2023-07-02 04:00:55.888751,-0.010000000000218279
243.2,2023-07-02 04:01:25.801729,243.1,2023-07-02 04:02:02.341459,-0.010000000000218279
243.2,2023-07-02 04:02:39.754137,243.03,2023-07-02 04:03:01.365507,-0.016999999999825377
243.6,2023-07-02 04:06:13.338703,243.4,2023-07-02 04:06:20.481508,-0.020000000000436557
243.6,2023-07-02 04:06:50.338716,243.4,2023-07-02 04:06:57.469922,-0.019999999999527063
243.5,2023-07-02 04:07:05.216709,243.3,2023-07-02 04:07:12.038768,-0.020000000000436557
243.5,2023-07-02 04:07:27.266267,243.31,2023-07-02 04:08:47.977533,-0.018999999999323336
243.8,2023-07-02 04:10:01.904138,243.61,2023-07-02 04:10:02.355461,-0.01900000000023283
243.8,2023-07-02 04:10:04.082008,243.61,2023-07-02 04:10:04.267176,-0.01900000000023283
243.8,2023-07-02 04:10:05.442551,243.61,2023-07-02 04:10:05.625097,-0.01900000000023283
243.8,2023-07-02 04:10:09.418382,243.61,2023-07-02 04:10:09.879291,-0.018999999999323336
243.8,2023-07-02 04:10:10.939461,243.61,2023-07-02 04:10:11.126475,-0.01900000000023283
243.8,2023-07-02 04:10:24.487615,243.61,2023-07-02 04:10:31.927583,-0.01900000000023283
243.8,2023-07-02 04:10:53.661218,243.61,2023-07-02 04:11:08.546739,-0.01900000000023283
243.8,2023-07-02 04:11:30.609443,243.63,2023-07-02 04:11:52.163831,-0.016999999999825377
243.8,2023-07-02 04:12:07.713902,243.63,2023-07-02 04:12:29.504605,-0.016999999999825377
