Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida,M̩todo,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
1960.82,2023-07-03 07:29:18.831252,1960.81,2023-07-03 07:29:19.391702,-0.0009999999999990906,2G,30,0,-5,10,20,2.5,10,2.5,30,10,15.70373
1960.81,2023-07-03 07:29:20.222372,1960.18,2023-07-03 07:29:21.056049,-0.06299999999998818,2G,30,0,-5,10,20,2.5,10,2.5,30,10,17.099165
1961.38,2023-07-03 07:29:21.890873,1956.31,2023-07-03 07:32:01.561223,-0.5070000000000164,1P,30,0,-5,10,20,2.5,10,2.5,30,10,18.765533
1970.35,2023-07-03 07:40:08.228053,1965.31,2023-07-03 07:55:07.746710,-0.5039999999999963,1P,30,0,-5,10,20,2.5,10,2.5,30,10,3.5079599999999997
1973.0,2023-07-03 08:16:24.386562,1967.04,2023-07-03 08:18:36.149502,-0.5960000000000036,1P,30,0,-5,10,20,2.5,10,2.5,30,10,10.149252
1967.89,2023-07-03 08:18:52.095586,1963.15,2023-07-03 08:27:13.181695,-0.4740000000000009,1P,30,0,-5,10,20,2.5,10,2.5,30,10,4.414799
1963.22,2023-07-03 08:27:13.784401,1958.64,2023-07-03 09:33:54.999037,-0.45799999999999275,1P,30,0,-5,10,20,2.5,10,2.5,30,10,5.211348
1966.0,2023-07-03 11:24:14.354988,1961.11,2023-07-03 12:03:50.983814,-0.48900000000001004,1P,30,0,-5,10,20,2.5,10,2.5,30,10,6.419711
1961.12,2023-07-03 12:03:51.837399,1956.37,2023-07-03 12:16:47.494200,-0.47500000000000003,1P,30,0,-5,10,20,2.5,10,2.5,30,10,17.314311
1969.83,2023-07-03 12:58:45.975218,1964.61,2023-07-03 13:09:45.961927,-0.5220000000000028,1P,30,0,-5,10,20,2.5,10,2.5,30,10,17.044909
1968.91,2023-07-03 13:46:45.921108,1964.48,2023-07-03 13:53:39.925563,-0.4430000000000064,1P,30,0,-5,10,20,2.5,10,2.5,30,10,9.358989
1966.84,2023-07-03 14:10:19.523393,1961.8,2023-07-03 14:28:12.510602,-0.5039999999999963,1P,30,0,-5,10,20,2.5,10,2.5,30,10,21.349581
1964.61,2023-07-03 14:42:28.657939,1959.25,2023-07-03 14:46:29.476136,-0.53599999999999,1P,30,0,-5,10,20,2.5,10,2.5,30,10,4.653613
1975.04,2023-07-03 15:35:13.246109,1969.21,2023-07-03 15:37:18.806645,-0.5829999999999927,1P,30,0,-5,10,20,2.5,10,2.5,30,10,5.397545
1972.78,2023-07-03 15:42:28.364729,1967.76,2023-07-03 15:53:45.366891,-0.5019999999999982,1P,30,0,-5,10,20,2.5,10,2.5,30,10,2.709601
1970.3,2023-07-03 16:02:46.144233,1964.08,2023-07-03 16:06:23.679637,-0.6220000000000028,1P,30,0,-5,10,20,2.5,10,2.5,30,10,11.310481
1963.0,2023-07-03 16:07:01.355892,1960.42,2023-07-03 16:07:24.083796,-0.25799999999999274,1P,30,0,-5,10,20,2.5,10,2.5,30,10,4.377351
1961.01,2023-07-03 16:07:25.165458,1960.42,2023-07-03 16:07:39.993205,-0.058999999999991816,1P,30,0,-5,10,20,2.5,10,2.5,30,10,27.7019
1964.06,2023-07-03 16:17:24.588792,1958.89,2023-07-03 16:35:35.267848,-0.5169999999999846,1P,30,0,-5,10,20,2.5,10,2.5,30,10,11.362397
1964.66,2023-07-03 17:00:13.613196,1959.5,2023-07-03 17:06:12.974477,-0.5160000000000082,1P,30,0,-5,10,20,2.5,10,2.5,30,10,2.919693
1965.22,2023-07-03 17:28:23.605358,1960.24,2023-07-03 18:26:16.433597,-0.49800000000000183,1P,30,0,-5,10,20,2.5,10,2.5,30,10,3.192869
1956.95,2023-07-03 21:39:16.177708,1954.78,2023-07-03 22:00:33.397708,-0.2170000000000073,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,5.099593
1956.39,2023-07-03 22:56:23.456085,1955.1,2023-07-03 23:00:07.503565,-0.1290000000000191,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,4.368823
1955.35,2023-07-03 23:00:23.707029,1952.7,2023-07-03 23:08:07.504170,-0.26499999999998636,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,4.927235
1956.3,2023-07-04 00:35:15.242240,1954.28,2023-07-04 00:49:22.239147,-0.20199999999999818,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,10.803554
1953.11,2023-07-04 00:49:48.765776,1950.59,2023-07-04 01:16:51.739391,-0.25199999999999817,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,3.883108
1958.87,2023-07-04 01:20:33.709344,1956.34,2023-07-04 01:21:44.600755,-0.2529999999999973,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,4.374707
1955.61,2023-07-04 01:22:52.294575,1952.04,2023-07-04 01:35:22.717667,-0.35699999999999366,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,2.109108
1952.5,2023-07-04 04:43:11.700999,1949.58,2023-07-04 04:48:29.304754,-0.2920000000000073,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,4.498879
1953.95,2023-07-04 04:55:33.922445,1951.88,2023-07-04 06:00:11.419156,-0.20699999999999363,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,5.262429
1951.25,2023-07-04 06:00:38.161349,1949.42,2023-07-04 06:05:11.139118,-0.18299999999999272,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,2.880821
1956.33,2023-07-04 06:27:24.838270,1953.78,2023-07-04 06:50:18.615596,-0.25499999999999545,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,5.194914
1953.35,2023-07-04 06:50:56.392402,1950.79,2023-07-04 07:46:12.633725,-0.25599999999999457,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,4.955202
1950.5,2023-07-04 07:46:28.771109,1947.74,2023-07-04 09:05:07.796673,-0.2759999999999991,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,4.710525
1958.22,2023-07-04 10:36:39.103924,1955.44,2023-07-04 10:38:22.366580,-0.2779999999999973,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,2.675746
1960.5,2023-07-04 11:32:54.320108,1957.81,2023-07-04 12:25:31.814832,-0.26900000000000546,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,3.458039
1957.57,2023-07-04 12:26:06.961832,1955.06,2023-07-04 12:35:17.952563,-0.2509999999999991,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,1.9387400000000001
1957.12,2023-07-04 12:50:54.513182,1954.46,2023-07-04 13:31:28.369859,-0.26599999999998547,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,3.202096
1939.75,2023-07-04 22:38:40.120925,1937.82,2023-07-04 23:19:15.840500,-0.1930000000000064,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,5.822768
1940.54,2023-07-05 00:26:25.834829,1938.0,2023-07-05 00:39:03.092669,-0.2539999999999964,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,5.262304
1937.99,2023-07-05 00:39:24.539250,1935.2,2023-07-05 00:57:10.539690,-0.27899999999999636,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,4.59136
1911.28,2023-07-05 14:42:52.229183,1908.19,2023-07-05 14:47:41.002716,-0.30899999999999184,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,5.858746
1911.56,2023-07-05 14:55:03.083622,1909.05,2023-07-05 15:02:35.004282,-0.2509999999999991,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.393155
1909.51,2023-07-05 15:02:40.517438,1907.04,2023-07-05 15:07:14.520329,-0.24700000000000275,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,5.498439
1907.24,2023-07-05 15:07:30.341267,1904.56,2023-07-05 15:16:57.116010,-0.2680000000000064,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.117481
1905.9,2023-07-05 15:17:09.586042,1903.24,2023-07-05 15:18:15.859196,-0.2660000000000082,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,3.51421
1907.36,2023-07-05 15:21:52.599287,1904.53,2023-07-05 15:26:26.662443,-0.28299999999999276,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,5.070242
1904.32,2023-07-05 15:26:58.463865,1901.72,2023-07-05 15:31:19.843994,-0.2599999999999909,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,3.50862
1902.4,2023-07-05 15:31:36.180055,1898.94,2023-07-05 15:33:13.991598,-0.34600000000000364,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,5.219862
1899.39,2023-07-05 15:33:24.688820,1897.5,2023-07-05 15:39:02.324,-0.18900000000001002,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,3.550306
1916.0,2023-07-05 17:29:24.737489,1913.39,2023-07-05 17:32:02.128163,-0.26099999999999,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,5.195279
1916.93,2023-07-05 18:01:41.414734,1913.49,2023-07-05 18:02:29.855046,-0.34400000000000547,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,3.478147
1914.03,2023-07-05 18:02:51.457313,1911.44,2023-07-05 18:18:09.437198,-0.25899999999999185,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,3.562596
1911.74,2023-07-05 18:18:25.459119,1908.97,2023-07-05 18:28:30.443198,-0.2769999999999982,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,2.854638
1911.66,2023-07-05 19:20:25.974373,1909.11,2023-07-05 19:43:08.519968,-0.2550000000000182,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.956053
1908.71,2023-07-05 19:43:53.485663,1904.9,2023-07-05 20:05:08.214643,-0.38099999999999457,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,3.930183
1911.24,2023-07-05 20:46:02.865292,1908.75,2023-07-05 21:38:40.472978,-0.24900000000000092,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,2.665542
1911.82,2023-07-05 21:44:02.414862,1909.06,2023-07-05 21:48:52.034532,-0.2759999999999991,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,2.907105
1914.55,2023-07-05 22:17:46.387211,1912.14,2023-07-05 22:23:25.317615,-0.24099999999998545,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.594129
1912.27,2023-07-05 22:23:46.981705,1909.69,2023-07-05 22:30:25.225419,-0.25799999999999274,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,2.697868
1910.11,2023-07-05 22:30:35.806513,1906.93,2023-07-05 22:46:08.454784,-0.31799999999998363,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,5.75004
1909.23,2023-07-05 22:55:25.052061,1906.76,2023-07-05 23:02:25.085138,-0.24700000000000275,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.998691
1913.26,2023-07-05 23:22:33.880192,1910.75,2023-07-05 23:52:09.383018,-0.2509999999999991,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.802496
1910.61,2023-07-05 23:52:31.471233,1907.72,2023-07-06 00:32:30.032857,-0.28899999999998727,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,3.033058
1907.49,2023-07-06 00:32:45.916555,1905.13,2023-07-06 00:42:02.589830,-0.23599999999999,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,3.631052
1905.15,2023-07-06 00:42:24.137900,1902.64,2023-07-06 00:50:57.238528,-0.2509999999999991,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,5.677277
1905.32,2023-07-06 01:05:57.754787,1902.54,2023-07-06 01:17:08.847283,-0.2779999999999973,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,6.139819
1902.5,2023-07-06 01:17:35.482142,1900.07,2023-07-06 01:20:41.312500,-0.24300000000000638,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,5.077262
1912.07,2023-07-06 02:09:46.086560,1911.81,2023-07-06 02:11:57.289468,-0.025999999999999093,2G,15,0,-2.5,10,20,2.5,10,2.5,10,10,3.770899
1914.29,2023-07-06 02:40:16.166994,1911.49,2023-07-06 02:44:04.462414,-0.2799999999999955,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.353629
1914.03,2023-07-06 03:15:14.438904,1911.5,2023-07-06 04:49:25.128658,-0.2529999999999973,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.240597
1920.81,2023-07-06 05:39:41.435179,1917.87,2023-07-06 05:40:45.912531,-0.2940000000000055,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,2.360534
1922.37,2023-07-06 05:48:13.879670,1920.0,2023-07-06 05:49:47.369481,-0.2369999999999891,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,5.278033
1929.24,2023-07-06 07:41:03.126072,1926.31,2023-07-06 07:50:02.890088,-0.29300000000000637,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,10.802515
1926.75,2023-07-06 07:50:19.037723,1924.12,2023-07-06 07:54:02.980812,-0.26300000000001095,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.594848
1929.05,2023-07-06 08:03:30.841538,1926.14,2023-07-06 08:20:29.860036,-0.29099999999998544,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.782887
1937.51,2023-07-06 08:47:02.555045,1937.02,2023-07-06 08:48:41.392419,-0.04900000000000091,2G,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.537535
1954.88,2023-07-06 09:00:57.696970,1952.22,2023-07-06 09:01:46.297882,-0.2660000000000082,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.746466
1952.9,2023-07-06 09:01:56.716863,1949.3,2023-07-06 09:03:35.973034,-0.36000000000001364,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,3.695753
1956.5,2023-07-06 09:11:23.764525,1953.45,2023-07-06 09:13:02.037039,-0.3049999999999955,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.60323
1954.89,2023-07-06 09:13:18.966302,1952.38,2023-07-06 09:15:02.806130,-0.2509999999999991,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,5.198096
1956.33,2023-07-06 09:16:12.297984,1953.34,2023-07-06 09:17:51.547797,-0.29900000000000093,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.485923
1954.77,2023-07-06 09:22:22.327479,1952.36,2023-07-06 09:29:02.456842,-0.2410000000000082,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.721602
1951.06,2023-07-06 09:29:35.850263,1948.0,2023-07-06 09:32:56.768959,-0.30599999999999455,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.565658
1951.41,2023-07-06 09:37:08.420899,1948.79,2023-07-06 09:38:41.324355,-0.26200000000001183,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.700773
1947.78,2023-07-06 09:39:25.108251,1944.26,2023-07-06 09:40:52.219014,-0.3519999999999982,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.292004
1943.5,2023-07-06 09:41:13.831541,1940.78,2023-07-06 09:48:35.110098,-0.27200000000000274,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,3.7995039999999998
1942.52,2023-07-06 09:58:02.661069,1939.89,2023-07-06 10:09:36.131946,-0.2629999999999882,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.313154
1944.03,2023-07-06 10:59:08.323013,1941.27,2023-07-06 11:03:09.013515,-0.2759999999999991,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,3.133216
1941.19,2023-07-06 11:03:09.828258,1938.74,2023-07-06 11:32:41.602739,-0.24500000000000455,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,5.895554
1938.32,2023-07-06 11:33:25.611944,1935.35,2023-07-06 11:47:18.336970,-0.29700000000000276,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,3.010119
1936.07,2023-07-06 11:47:34.534727,1935.04,2023-07-06 11:48:08.687464,-0.10299999999999727,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.610649
1931.37,2023-07-06 11:48:24.622812,1928.23,2023-07-06 11:52:18.877339,-0.3139999999999873,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,2.207901
1920.07,2023-07-06 11:53:19.307385,1917.65,2023-07-06 11:55:42.567569,-0.24199999999998456,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.597091
1917.94,2023-07-06 11:55:58.524136,1916.25,2023-07-06 11:57:09.219899,-0.16900000000000548,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,3.32462
1918.16,2023-07-06 12:00:36.118265,1889.83,2023-07-06 12:02:30.815226,-2.8330000000000157,1P,15,0,-2.5,10,20,2.5,10,2.5,10,10,4.381099
1890.77,2023-07-06 12:03:08.966833,1888.44,2023-07-06 12:03:09.829751,-0.23299999999999274,3G,15,0,-2.5,10,20,2.5,10,2.5,10,10,5.920964
1888.0,2023-07-06 12:03:10.693187,1864.0,2023-07-06 12:03:11.526645,-2.4000000000000004,3G,15,0,-2.5,10,20,2.5,10,2.5,10,10,7.643683
